"codigo_arma";"tipo_arma";"arma"
1;"NINGUNA";"NINGUNA"
2;"ARMAS DE FUEGO";"REVOLVER"
3;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"CUCHILLOS"
4;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"MACHETES"
5;"ARMAS DE FUEGO";"PISTOLAS"
6;"ARMAS DE FUEGO";"OTROS ARMAS CORTAS"
7;"ARMAS DE FUEGO";"PISTOLA"
8;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";""
9;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"OTROS"
10;"ARMAS DE FUEGO";"ARTESANAL"
11;"ARMAS DE FUEGO";"OTROS"
12;"ARMAS DE FUEGO";"CARABINA"
13;"ARMAS DE FUEGO";"SUBAMETRALLADORA"
14;"ARMAS DE FUEGO";"CARTUCHERA"
15;"ARMAS DE FUEGO";"FUSIL"
16;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"BOTELLA ROTA"
17;"ARMAS DE FUEGO";""
18;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"PICA HIELO"
19;"ARMAS DE FUEGO";"FUSILES"
20;"ARMAS DE FUEGO";"CARTUCHERAS"
21;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"DESTORNILLADORES"
22;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"ESTILETE"
23;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"NAVAJAS"
24;"ARMAS DE FUEGO";"RIFLES"
25;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"TIJERAS"
26;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"PUNIALES"
27;"NINGUNA";"OTROS"
28;"ARMAS DE FUEGO";"AMETRALLADORA"
29;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"HOJAS DE AFEITAR"
30;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"HACHAS"
31;"ARMAS DE FUEGO";"NINGUNA"
32;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"NINGUNA"
33;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"DAGA"
34;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"BISTURIES"
35;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"LANZA"
36;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"OTROS ARMAS CORTAS"
37;"ARMAS DE FUEGO";"RIFLE"
38;"ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE)";"ESPADAS"
39;"NINGUNA";"ARTESANAL"
