codigo_arma,tipo_arma,arma
1,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),TIJERAS
2,ARMAS DE FUEGO,SUBAMETRALLADORA
3,ARMAS DE FUEGO,
4,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),
5,ARMAS DE FUEGO,RIFLES
6,ARMAS DE FUEGO,RIFLE
7,ARMAS DE FUEGO,REVÓLVER
8,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),PUÑALES
9,ARMAS DE FUEGO,PISTOLAS
10,ARMAS DE FUEGO,PISTOLA
11,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),PICA HIELO
12,ARMAS DE FUEGO,OTROS ARMAS CORTAS
13,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),OTROS
14,ARMAS DE FUEGO,OTROS
15,NINGUNA,NINGUNA
16,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),NAVAJAS
17,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),MACHETES
18,ARMAS DE FUEGO,FUSILES
19,ARMAS DE FUEGO,FUSIL
20,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),ESPADAS
21,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),DESTORNILLADORES
22,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),CUCHILLOS
23,ARMAS DE FUEGO,CARTUCHERAS
24,ARMAS DE FUEGO,CARTUCHERA
25,ARMAS DE FUEGO,CARABINA
26,ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE),BOTELLA ROTA
27,ARMAS DE FUEGO,ARTESANAL
28,ARMAS DE FUEGO,AMETRALLADORA
